rank_2024,name,gics_industry,gics_sector,full_city,full_country,revenue_usd_ppp,energy_prod_score,carbon_prod_score,water_prod_score,overall_score,prev_rank,company,industry,revenue,profit_percent,ceo_pay_ratio_days,women_board_percent,women_leadership_percent,women_workforce_percent,climate_grade,sustainability_initiatives,profit_usd
1,Sims Ltd,Metals & Mining,Materials,Mascot,Australia,5573478289,0.95,0.9,0,A+,14,Sims Ltd,Waste management,38525,0.16,36,0.38,1,1,A+,,6164
2,Brambles Ltd,Commercial Services & Supplies,Industrials,Sydney,Australia,6076800000,0.5710000000000001,0.583,0,A,3,Brambles Ltd,Furniture and general manufacturing,123791,0.12,61,0.36,1,1,A,"1.5°C, SBTi",14854.92
3,Vestas Wind Systems A/S,Electrical Equipment,Industrials,Aarhus,Denmark,22337564610,0.665,0.598,0.826,A,2,Vestas Wind Systems A/S,Machinery manufacturing,141969,0.19,70,0.42,1,1,A,"1.5°C, SBTi",26974.11
4,Taiwan High Speed Rail Corp,Transportation Infrastructure,Industrials,Taipei,Taiwan,2439925948,0.563,0.813,0,A,9,Taiwan High Speed Rail Corp,Transit and ground transportation,7698,0,11,0.15,1,1,A,,0
5,Nordex SE,Electrical Equipment,Industrials,Hamburg,Germany,8779591182,0.982,0.653,0.688,A,,Nordex SE,Machinery manufacturing,160887,0.73,82,0.33,1,1,A,"1.5°C, SBTi",117447.51
6,Banco do Brasil SA,Banks,Financials,Brasília,Brazil,52549117257,0.9790000000000001,0.795,0.34700000000000003,A-,15,Banco do Brasil SA,Banks,1106800,0.17,9,0.5,0.29,0,A-,"1.5°C, SBTi",188156
7,Schneider Electric SE,Electrical Equipment,Industrials,Rueil-Malmaison,France,52699752045,0.988,0.748,1,A-,7*,Schneider Electric SE,Electrical equipment manufacturing,102400,0.16,97,0.5,0.72,0.8,A-,"1.5°C, SBTi",16384
8,Chr Hansen Holding A/S,Chemicals,Materials,Hørsholm,Denmark,1878168832,0.593,0.7190000000000001,0.6829999999999999,A-,18,Chr Hansen Holding A/S,Food and beverage manufacturing,38696,0.14,34,0.5,0.47,0.71,A-,"1.5°C, SBTi",5417.44
9,Stantec Inc,Construction & Engineering,Industrials,Edmonton,Canada,4527868499,0.596,0.35200000000000004,0.75,A-,7,Stantec Inc,"Business, engineering and personal services",118360,0.12,60,0.5,0.59,0.6,A-,"1.5°C, SBTi",14203.2
10,SMA Solar Technology AG,Semiconductors & Semiconductor Equipment,Information Technology,Niestetal,Germany,1643699962,0.72,0.755,0,A-,,SMA Solar Technology AG,Semiconductor and electronic components manufacturing,135701,0.22,15,0.33,1,1,A-,SBTi,29854.22
11,Autodesk Inc,Software,Information Technology,San Francisco,U.S.,5.005e+09,1,0.631,0,A-,5,Autodesk Inc,IT services except telecom and hosting,517478,0.19,,0.5,0.93,0,A-,"1.5°C, SBTi",98320.82
12,WSP Global Inc,Construction & Engineering,Industrials,Montreal,Canada,9517121471,0.46799999999999997,0.401,0,B+,,WSP Global Inc,"Business, engineering and personal services",152031,0.16,109,0.33,0.57,0.92,B+,"1.5°C, SBTi",24324.96
13,Clean Harbors Inc,Commercial Services & Supplies,Industrials,Norwell,U.S.,5166605000,0.541,0.4,0,B+,,Clean Harbors Inc,Waste management,3048,0.08,,0.45,1,1,B+,,243.84
14,Enphase Energy Inc,Semiconductors & Semiconductor Equipment,Information Technology,Fremont,U.S.,2330853000,0.75,0.72,0,B+,,Enphase Energy Inc,Semiconductor and electronic components manufacturing,209362,0.04,,0.14,1,1,B+,,8374.48
15,Telefonaktiebolaget LM Ericsson,Communications Equipment,Information Technology,Stockholm,Sweden,31333849283,0.61,0.8340000000000001,0.8390000000000001,B+,65,Telefonaktiebolaget LM Ericsson,Telephones and telecom equipment manufacturing,174040,0.18,83,0.29,0.47,0.71,B+,"1.5°C, SBTi",31327.2
16,SunPower Corp,Electrical Equipment,Industrials,Richmond,U.S.,1741072000,1,0,0,B+,35,SunPower Corp,Semiconductor and electronic components manufacturing,0,0,,0.22,1,1,B+,SBTi,0
17,Ørsted A/S,Electric Utilities,Utilities,Fredericia,Denmark,20930534304,0.9390000000000001,0.847,0.36,B+,13,Ørsted A/S,Power generation,8192,0.1,35,0.5,0.65,0.99,B+,"1.5°C, SBTi",819.2
18,Alstom SA,Machinery,Industrials,Saint-Ouen,France,25453967902,0.726,0.715,0.5589999999999999,B+,,Alstom SA,Non-road transport equipment manufacturing,111827,0.11,31,0.38,0.84,0.92,B+,SBTi,12300.97
19,Neste Oyj,"Oil, Gas & Consumable Fuels",Energy,Espoo,Finland,39640464824,0.9740000000000001,0.924,0.866,B+,29,Neste Oyj,"Refining, petrochemicals and basic organic chemicals",15844,0.1,14,0.25,0.39,0.92,B+,,1584.4
20,Dassault Systèmes SE,Software,Information Technology,Vélizy-Villacoublay,France,8735952284,0.20199999999999999,0.431,0,B+,10,Dassault Systèmes SE,IT services except telecom and hosting,318772,0.14,27,0.5,0.66,0.06,B+,"1.5°C, SBTi",44628.08
21,Giant Manufacturing Co Ltd,Leisure Products,Consumer Discretionary,Taichung,Taiwan,6047945003,0.317,0.344,0.39399999999999996,B+,51,Giant Manufacturing Co Ltd,Non-road transport equipment manufacturing,56418,0.18,227,0.09,1,1,B+,,10155.24
22,City Developments Ltd,Real Estate Management & Development,Real Estate,Singapore,Singapore,4031105263,0.64,0.452,0.59,B+,28,City Developments Ltd,Real estate,25789,0.17,38,0.2,0.54,0.64,B+,"1.5°C, SBTi",4384.13
23,Trane Technologies PLC,Building Products,Industrials,Swords,Ireland,15991700000,0.7140000000000001,0.385,0.213,B+,,Trane Technologies PLC,HVAC equipment manufacturing,44213,0.25,126,0.45,0.38,0.29,B+,"1.5°C, SBTi",11053.25
24,United Utilities Group PLC,Water Utilities,Utilities,Warrington,U.K.,2749267249,0.629,0.835,0.375,B+,,United Utilities Group PLC,Water and sewage treatment,10544,0.03,71,0.4,0.42,1,B+,"1.5°C, SBTi",316.32
25,XPeng Inc,Automobiles,Consumer Discretionary,Guangzhou,China,26855119000,0.9440000000000001,0.75,0,B,,XPeng Inc,"Cars and trucks manufacturing, including parts",264119,0,,0.14,1,1,B,,0
26,Wheaton Precious Metals Corp,Metals & Mining,Financials,Vancouver,Canada,1065053000,0.835,0.825,0,B,,Wheaton Precious Metals Corp,Asset management,33251733,0,5,0.3,0.21,0,B,SBTi,0
27,Brookfield Renewable Partners LP,Independent Power and Renewable Electricity Producers,Utilities,Hamilton,Bermuda,4.711e+09,0.639,0.8290000000000001,0.644,B,4,Brookfield Renewable Partners LP,Power generation,25165,0.04,58,0.33,0.97,1,B,,1006.6
28,ERG SpA,Independent Power and Renewable Electricity Producers,Utilities,Genoa,Italy,2214327128,0.46,0.637,0.251,B,54,ERG SpA,Power generation,2342,0.09,22,0.42,0.52,1,B,"1.5°C, SBTi",210.78
29,Kesko Oyj,Food & Staples Retailing,Consumer Staples,Helsinki,Finland,18209602408,0.85,0.748,0.9470000000000001,B,74,Kesko Oyj,Grocery stores,124317,0.09,110,0.29,0.03,0.1,B,"1.5°C, SBTi",11188.53
30,Risen Energy Co Ltd,Semiconductors & Semiconductor Equipment,Information Technology,Ningbo,China,7306243027,0.429,0.38299999999999995,0,B,,Risen Energy Co Ltd,Semiconductor and electronic components manufacturing,14582,0.23,21,0,1,1,B,,3353.86
31,Severn Trent PLC,Water Utilities,Utilities,Coventry,U.K.,3262682811,0.728,0.629,0.5670000000000001,B,58,Severn Trent PLC,Water and sewage treatment,5751,0.02,64,0.56,0.5,1,B,"1.5°C, SBTi",115.02
32,Hydro One Ltd,Electric Utilities,Utilities,Toronto,Canada,6204963173,0.536,0.6709999999999999,0,B,,Hydro One Ltd,Power transmission and distribution,19867,0.01,9,0.4,0.36,0.98,B,,198.67
33,Zhuzhou CRRC Times Electric Co Ltd,Machinery,Industrials,Zhuzhou,China,4483934334,0.462,0,0.091,B,,Zhuzhou CRRC Times Electric Co Ltd,Electrical equipment manufacturing,0,0.28,,0.09,1,1,B,,0
34,First Solar Inc,Semiconductors & Semiconductor Equipment,Information Technology,Tempe,U.S.,2619319000,0.084,0.087,0,B,46,First Solar Inc,Semiconductor and electronic components manufacturing,4270,0.15,,0.25,1,1,B,"1.5°C, SBTi",640.5
35,Eisai Co Ltd,Pharmaceuticals,Health Care,Tokyo,Japan,7818175356,0.726,0.9570000000000001,0.337,B,53,Eisai Co Ltd,Pharmaceutical and biotech manufacturing,188590,0.16,10,0.18,0.49,0.22,B,"1.5°C, SBTi",30174.4
36,Radius Recycling,Metals & Mining,Materials,Portland,U.S.,3485815000,0.446,0.85,1,B,1,Radius Recycling,Waste management,19067,0.05,103,0.5,0.95,1,B,,953.35
37,Beazley PLC,Insurance,Financials,London,U.K.,3466600000,0.753,0.83,0,B,87,Beazley PLC,Insurance companies,2864982,0.1,11,0.45,0.15,0,B,NZIA,286498.2
38,Cascades Inc,Containers & Packaging,Materials,Kingsey Falls,Canada,3561872176,0.183,0.45299999999999996,0,B,20,Cascades Inc,Packaging,4763,0.03,66,0.38,0.88,0.86,B,SBTi,142.89
39,EDP Renováveis SA,Independent Power and Renewable Electricity Producers,Utilities,Madrid,Spain,3656856396,0.855,0,0,B,,EDP Renováveis SA,Power generation,0,0.02,7,0.33,1,1,B,SBTi,0
40,Beijing Enterprises Water Group Ltd,Water Utilities,Utilities,Wan Chai,Hong Kong,4258842823,0.335,0.317,0.75,B,32,Beijing Enterprises Water Group Ltd,Water and sewage treatment,3828,0.08,,0.2,0.94,1,B,,306.24
41,Atea ASA,IT Services,Information Technology,Oslo,Norway,3016575101,0.488,0.7040000000000001,0,B,49,Atea ASA,Computers and peripherals manufacturing,483930,0.12,23,0.38,0.57,0.38,B,SBTi,58071.6
42,Yadea Group Holdings Ltd,Automobiles,Consumer Discretionary,Wuxi,China,7722646832,0.5770000000000001,0.25,0.41600000000000004,B,64,Yadea Group Holdings Ltd,Non-road transport equipment manufacturing,49209,0.08,7,0.13,1,1,B,,3936.72
43,Li Auto Inc,Automobiles,Consumer Discretionary,Beijing,China,11260153188,0.706,0.6679999999999999,0.619,B-,,Li Auto Inc,"Cars and trucks manufacturing, including parts",107512,0.03,95,0.13,1,1,B-,,3225.36
44,Maxeon Solar Technologies Ltd,Semiconductors & Semiconductor Equipment,Information Technology,Singapore,Singapore,1060113000,0.11800000000000001,0.1,0,B-,69,Maxeon Solar Technologies Ltd,Semiconductor and electronic components manufacturing,4422,0.08,,0,1,1,B-,,353.76
45,Kering SA,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,Paris,France,31381456398,0.9179999999999999,0.753,0.659,B-,31,Kering SA,"Retail, except grocery and auto",261469,0.28,151,0.46,0.26,0.05,B-,"1.5°C, SBTi, FCCA",73211.32
46,Tesla Inc,Automobiles,Consumer Discretionary,Austin,U.S.,8.1462e+10,0,0.715,0.985,B-,86,Tesla Inc,"Cars and trucks manufacturing, including parts",133544,0.06,,0.25,1,1,B-,"1.5°C, SBTi",8012.64
47,Umicore SA,Chemicals,Materials,Brussels,Belgium,39221844430,0.929,0.809,0.745,B-,,Umicore SA,Basic inorganic chemicals and synthetics,57259,0.17,32,0.4,0.12,0.63,B-,SBTi,9734.03
48,SAP SE,Software,Information Technology,Walldorf,Germany,47603407226,0.335,0.255,0.57,B-,41,SAP SE,IT services except telecom and hosting,168329,0.28,30,0.44,0.3,0.03,B-,"1.5°C, SBTi",47132.12
49,McCormick & Company Inc,Food Products,Consumer Staples,Hunt Valley,U.S.,6350500000,0.929,0.968,0.7340000000000001,B-,22,McCormick & Company Inc,Food and beverage manufacturing,80976,0.14,,0.36,0.46,0.22,B-,"1.5°C, SBTi",11336.64
50,NIO Inc,Automobiles,Consumer Discretionary,Shanghai,China,12250177716,0.574,0.469,0,B-,79,NIO Inc,"Cars and trucks manufacturing, including parts",42750,0.01,,0.17,1,1,B-,,427.5
51,BCE Inc,Diversified Telecommunication Services,Communication Services,Verdun,Canada,19280048810,0.42,0.74,0.124,B-,42,BCE Inc,Telecom providers,75217,0.08,137,0.36,0.24,0.78,B-,"1.5°C, SBTi",6017.36
52,Investec Ltd,Capital Markets,Financials,Sandton,South Africa,3436460492,0.609,0.11699999999999999,0,B-,76,Investec Ltd,Banks,130634,0.2,43,0.43,0.14,0,B-,NZBA,26126.8
53,Novo Nordisk A/S,Pharmaceuticals,Health Care,Bagsvaerd,Denmark,72105332281,0.9440000000000001,0.9359999999999999,0.953,B-,,Novo Nordisk A/S,Pharmaceutical and biotech manufacturing,336603,0.19,76,0.46,0.04,0,B-,"1.5°C, SBTi",63954.57
54,Puma SE,"Textiles, Apparel & Luxury Goods",Consumer Discretionary,Erlangen,Germany,13053273380,0.9670000000000001,0.75,0.794,B-,47,Puma SE,Textiles and clothing manufacturing,312773,0.17,226,0.33,0.54,0,B-,"SBTi, FCCA",53171.41
55,Samsung SDI Co Ltd,"Electronic Equipment, Instruments & Components",Information Technology,Yongin-si,South Korea,24675116171,0.142,0.451,0.708,B-,63,Samsung SDI Co Ltd,Semiconductor and electronic components manufacturing,14103,0.09,135,0.29,0.87,0.94,B-,,1269.27
56,"Rivian Automotive, Inc",Automobiles,Consumer Discretionary,Irvine,U.S.,1.658e+09,0,0,0,B-,,"Rivian Automotive, Inc","Cars and trucks manufacturing, including parts",0,0,55,0.43,1,1,B-,,0
57,Intesa Sanpaolo SpA,Banks,Financials,Turin,Italy,33106966187,0.332,0.276,0.122,B-,59,Intesa Sanpaolo SpA,Banks,195778,0.26,102,0.42,0.16,0,B-,"1.5°C, SBTi, NZBA",50902.28
58,Novozymes A/S,Chemicals,Materials,Bagsvaerd,Denmark,2777456917,0.136,0.121,0.059000000000000004,C+,23,Novozymes A/S,Pharmaceutical and biotech manufacturing,7348,0.16,35,0.27,0.67,0.14,C+,"1.5°C, SBTi",1175.68
59,Elisa Oyj,Diversified Telecommunication Services,Communication Services,Helsinki,Finland,3283711434,0.626,0.672,0.691,C+,,Elisa Oyj,Telecom providers,57863,0.11,31,0.38,0.16,0.63,C+,"1.5°C, SBTi",6364.93
60,Arçelik AS,Household Durables,Consumer Discretionary,Istanbul,Turkey,26594873722,0.875,0.85,0.813,C+,89,Arçelik AS,Appliances and lighting fixtures manufacturing,224900,0.06,,0.17,0.1,0.15,C+,"1.5°C, SBTi",13494
61,Pirelli & C SpA,Auto Components,Consumer Discretionary,Milan,Italy,10201520731,0.281,0.25,0.33299999999999996,C+,,Pirelli & C SpA,Plastic and rubber product manufacturing,14318,0.12,548,0.2,0.23,0.16,C+,"1.5°C, SBTi",1718.16
62,Singapore Telecommunications Ltd,Diversified Telecommunication Services,Communication Services,Singapore,Singapore,17899632803,0.556,0.46399999999999997,0,C+,,Singapore Telecommunications Ltd,Telecom providers,37135,0.07,28,0.43,0.12,0.6,C+,"1.5°C, SBTi",2599.45
63,Xinyi Solar Holdings Ltd,Semiconductors & Semiconductor Equipment,Information Technology,Wuhu,China,3502223150,0.179,0.092,0.147,C+,12,Xinyi Solar Holdings Ltd,Glass and ceramics,891,0.1,213,0.11,1,1,C+,,89.1
64,Cisco Systems Inc,Communications Equipment,Information Technology,San Jose,U.S.,5.1557e+10,0.799,0.322,0.762,C+,48,Cisco Systems Inc,Telephones and telecom equipment manufacturing,86080,0.22,366,0.42,0.42,0,C+,"1.5°C, SBTi",18937.6
65,KB Financial Group Inc,Banks,Financials,Seoul,South Korea,18408153362,0.115,0.16699999999999998,0,C+,68,KB Financial Group Inc,Banks,142713,0.25,11,0.33,0.06,0,C+,"1.5°C, SBTi, NZBA",35678.25
66,Sanofi SA,Pharmaceuticals,Health Care,Paris,France,66301826974,0.677,0.6659999999999999,0.627,C+,61,Sanofi SA,Pharmaceutical and biotech manufacturing,93914,0.17,98,0.38,0.27,0.1,C+,"1.5°C, SBTi",15965.38
67,HP Inc,"Technology Hardware, Storage & Peripherals",Information Technology,Palo Alto,U.S.,6.2983e+10,0.55,0.48200000000000004,0,C+,39,HP Inc,Computers and peripherals manufacturing,259083,0.15,787,0.46,0.78,0,C+,"1.5°C, SBTi",38862.45
68,Essity AB (publ),Household Products,Consumer Staples,Stockholm,Sweden,18020892387,0.672,0.645,0.45799999999999996,C+,52,Essity AB (publ),Packaging,6803,0.13,65,0.38,0.33,0.1,C+,"1.5°C, SBTi",884.39
69,Equinix Inc,Equity Real Estate Investment Trusts (REITs),Information Technology,Redwood City,U.S.,7263105000,0.127,0.08900000000000001,0,C+,,Equinix Inc,"Data processing, hosting services",2970,0.04,,0.4,0.48,0.01,C+,SBTi,118.8
70,Unibail-Rodamco-Westfield SE,Equity Real Estate Investment Trusts (REITs),Real Estate,Paris,France,4631891245,0.858,0.501,0.391,C+,,Unibail-Rodamco-Westfield SE,Real estate,29790,0.04,26,0.5,0.5,0.08,C+,"1.5°C, SBTi",1191.6
71,Apple Inc,"Technology Hardware, Storage & Peripherals",Information Technology,Cupertino,U.S.,3.94328e+11,0.956,0.6970000000000001,0,C+,73,Apple Inc,Telephones and telecom equipment manufacturing,351888,0.16,,0.33,0.7,0.01,C+,"1.5°C, SBTi",56302.08
72,Ricoh Co Ltd,"Technology Hardware, Storage & Peripherals",Information Technology,Tokyo,Japan,22414493085,0.342,0.306,0,C+,80,Ricoh Co Ltd,Computers and peripherals manufacturing,70161,0.19,17,0.13,0.51,0.34,C+,"1.5°C, SBTi",13330.59
73,Cogeco Communications Inc,Media,Communication Services,Montreal,Canada,2313425610,0.28800000000000003,0.8059999999999999,0,C+,45,Cogeco Communications Inc,Telecom providers,77783,0.06,54,0.5,0.26,0.28,C+,"1.5°C, SBTi",4666.98
74,Solaredge Technologies Inc,Semiconductors & Semiconductor Equipment,Information Technology,Herzliya,Israel,3110279000,0.585,0.664,0,C+,,Solaredge Technologies Inc,Semiconductor and electronic components manufacturing,73903,0.19,,0.5,0.94,0.43,C+,,14041.57
75,Telefônica Brasil SA,Diversified Telecommunication Services,Communication Services,São Paulo,Brazil,26782292808,0.9640000000000001,0.963,0,C+,,Telefônica Brasil SA,Telecom providers,250602,0.02,90,0.33,0.12,0.53,C+,,5012.04
76,Unilever PLC,Personal Products,Consumer Staples,London,U.K.,92633198870,0.652,0.32299999999999995,0.44299999999999995,C+,38,Unilever PLC,Personal products (retail chemical),53579,0.23,98,0.38,0.02,0.04,C+,"1.5°C, SBTi",12323.17
77,Xerox Holdings Corp,"Technology Hardware, Storage & Peripherals",Information Technology,Norwalk,U.S.,7.107e+09,0.11699999999999999,0.2,0,C,36,Xerox Holdings Corp,Computers and peripherals manufacturing,56147,0.06,,0.25,0.75,0.11,C,"1.5°C, SBTi",3368.82
78,Coloplast A/S,Health Care Equipment & Supplies,Health Care,Humlebæk,Denmark,3572733990,0.9670000000000001,0.531,0.784,C,43,Coloplast A/S,Medical equipment manufacturing,71029,0.19,43,0.33,0.09,0,C,"1.5°C, SBTi",13495.51
79,Sun Life Financial Inc,Insurance,Financials,Toronto,Canada,18600533563,0.136,0.22699999999999998,0.081,C,77,Sun Life Financial Inc,Insurance companies,549255,0.15,124,0.5,0.06,0,C,,82388.25
80,StarHub Ltd,Wireless Telecommunication Services,Communication Services,Singapore,Singapore,2848592411,0.591,0.611,0.922,C,34,StarHub Ltd,Telecom providers,50109,0.13,17,0.25,0.08,0.57,C,"1.5°C, SBTi",6514.17
81,Hewlett Packard Enterprise Co,"Technology Hardware, Storage & Peripherals",Information Technology,Spring,U.S.,2.8496e+10,0.34600000000000003,0.312,0,C,67,Hewlett Packard Enterprise Co,Computers and peripherals manufacturing,93302,0.07,,0.46,0.33,0.39,C,"1.5°C, SBTi",6531.14
82,Svenska Handelsbanken AB,Banks,Financials,Stockholm,Sweden,5798261041,0.38799999999999996,0.9079999999999999,0.5710000000000001,C,72,Svenska Handelsbanken AB,Banks,1052698,0.26,17,0.57,0.07,0,C,"1.5°C, SBTi, NZBA",273701.48
83,Nordea Bank Abp,Banks,Financials,Helsinki,Finland,21637491827,0.84,0.821,0.922,C,94,Nordea Bank Abp,Banks,3242058,0.1,35,0.5,0.04,0,C,"NZAM, NZAO, NZBA",324205.8
84,Orkla ASA,Food Products,Consumer Staples,Oslo,Norway,5436948999,0.397,0.7040000000000001,0.485,C,70,Orkla ASA,Food and beverage manufacturing,33788,0.17,17,0.45,0.23,0.03,C,"1.5°C, SBTi",5743.96
85,Telus Corp,Diversified Telecommunication Services,Communication Services,Vancouver,Canada,14588841434,0.395,0.7290000000000001,0,C,37,Telus Corp,Telecom providers,64565,0.08,338,0.43,0.26,0.23,C,"1.5°C, SBTi",5165.2
86,Henkel AG & Co KgaA,Household Products,Consumer Staples,Düsseldorf,Germany,34536409953,0.539,0.418,0.578,C,81,Henkel AG & Co KgaA,Personal products (retail chemical),58936,0.19,132,0.44,0.21,0.01,C,"1.5°C, SBTi, NZAM",11197.84
87,Prologis Inc,Equity Real Estate Investment Trusts (REITs),Real Estate,San Francisco,U.S.,9591259000,0.983,0.9940000000000001,0.995,C,,Prologis Inc,Real estate and leasing,1614690,0.03,170,0.27,0.02,0.04,C,"1.5°C, SBTi",48440.7
88,UniCredit SpA,Banks,Financials,Milan,Italy,30830958637,0.64,0.402,0,C,,UniCredit SpA,Banks,225131,0.1,60,0.42,0.1,0,C,NZBA,22513.1
89,Commerzbank AG,Banks,Financials,Frankfurt am Main,Germany,14588961672,0.32299999999999995,0.607,0,C,85,Commerzbank AG,Banks,423236,0.16,36,0.45,0.05,0,C,"SBTi, NZAM, NZBA",67717.76
90,BNP Paribas SA,Banks,Financials,Paris,France,77746629165,0.273,0.51,0,C,71,BNP Paribas SA,Banks,320421,0.13,55,0.53,0.08,0,C,"SBTi, NZAM, NZAO, NZBA",41654.73
91,Assicurazioni Generali SpA,Insurance,Financials,Trieste,Italy,1.31689e+11,0.821,0.475,0,C,,Assicurazioni Generali SpA,Insurance companies,1273258,0.25,72,0.46,0.03,0,C,NZIA,318314.5
92,Teck Resources Ltd,Metals & Mining,Materials,Vancouver,Canada,13810429602,0.655,0.769,0.433,C,78,Teck Resources Ltd,Metal and coal mining,4846,0.13,79,0.29,0.19,0.28,C,,629.98
93,Vitasoy International Holdings Ltd,Food Products,Consumer Staples,Tuen Mun,Hong Kong,1080899932,0.18,0.155,0.17600000000000002,C,27,Vitasoy International Holdings Ltd,Food and beverage manufacturing,9681,0.14,70,0.18,0.46,0.04,C,,1355.34
94,Bank of China Ltd,Banks,Financials,Beijing,China,1.53943e+11,0.08199999999999999,0.066,0.03,C,,Bank of China Ltd,Banks,100123,0.13,4,0.15,0.17,0,C,,13015.99
95,AstraZeneca PLC,Pharmaceuticals,Health Care,Cambridge,U.K.,4.4351e+10,0.9129999999999999,0.6579999999999999,0.8909999999999999,C-,97,AstraZeneca PLC,Pharmaceutical and biotech manufacturing,100380,0.15,111,0.38,0.13,0,,,15057
96,IGM Financial Inc,Capital Markets,Financials,Winnipeg,Canada,3092019285,1,0.726,0,C-,92,IGM Financial Inc,Asset management,4947231,0.17,49,0.33,0.03,0,C-,NZAM,841029.27
97,Biomérieux SA,Health Care Equipment & Supplies,Health Care,Marcy l'Étoile,France,5534430011,0.65,0.6559999999999999,0.653,C-,,Biomérieux SA,Medical equipment manufacturing,75374,0.18,18,0.44,0.06,0,C-,SBTi,13567.32
98,Manulife Financial Corp,Insurance,Financials,Toronto,Canada,49626944534,0.06,0.083,0,C-,,Manulife Financial Corp,Insurance companies,206669,0.11,155,0.58,0.06,0,C-,"1.5°C, SBTi",22733.59
99,Sino Land Co Ltd,Real Estate Management & Development,Real Estate,Tsim Sha Tsui,Hong Kong,2025449244,0.374,0.175,0.455,C-,57,Sino Land Co Ltd,Real estate,10127,0.2,50,0.08,0.5,0.12,C-,"1.5°C, SBTi",2025.4
100,Sysmex Corp,Health Care Equipment & Supplies,Health Care,Kobe,Japan,4311348734,0.326,0.679,0,C-,,Sysmex Corp,Instrumentation and other electronic manufacturing,154501,0.2,22,0.08,0.37,0,C-,SBTi,30900.2
